Player,Position
Jacoby Brissett,QB
Nick Foles,QB
Paxton Lynch,QB
Tanner McEvoy,WR
Kerwynn Williams,RB
Jaron Brown,WR
Bennie Fowler,WR
DuJuan Harris,RB
Chester Rogers,WR
Shane Vereen,RB
Kapri Bibbs,RB
Alex Collins,RB
Seth Devalve,TE
Jeff Janis,WR
Mychal Rivera,TE
Mike Tolbert,RB
Luke Willson,WR
Orleans Darkwa,RB
Kenneth Farrow,RB
Xavier Grimble,TE
Jalin Marshall,WR
Charles Johnson,WR
Marcedes Lewis,TE
Ricardo Louis,WR
Jordan Norwood,WR
Andre Roberts,WR
Ameer Abdullah,RB
Ronnie Hillman,RB
Ben Koyack,TE
Roger Lewis,WR
Marquess Wilson,WR
Harry Douglas,WR
Lance Dunbar,RB
Darren Fells,TE
Josh Hill,TE
Vincent Jackson,WR
Andre Johnson,WR
Austin Seferian-Jenkins,TE
Darren Waller,TE
Danny Woodhead,RB
Cody Core,WR
Anthony Fasano,TE
Jonathan Grimes,RB
Demetrius Harris,TE
Freddie Martino,WR
Bobby Rainey,RB
Kevin White,WR
Benny Cunningham,RB
Ed Dickson,TE
Josh Huff,WR
Charone Peake,WR
Jerell Adams,TE
Arrelious Benn,WR
Daniel Brown,WR
Ka'Deem Carey,RB
Andre Ellington,RB
Tom Savage,QB
Derek Anderson,QB
Reggie Bush,RB
MarQueis Gray,TE
Kevin Hogan,QB
Denard Robinson,RB
Brandon Tate,WR
Matt Cassel,QB
Brent Celek,TE
Josh Ferguson,RB
Chris Johnson,RB
Braxton Miller,WR
Terron Ward,RB
Stephen Anderson,TE
Tyler Higbee,TE
Greg Salas,WR
Cecil Shorts,WR
Mack Brown,RB
AJ Derby,TE
Jeff Heuerman,TE
Akeem Hunt,RB
Andy Janovich,RB
Brandon Myers,TE
Walt Powell,WR
Larry Donnell,TE
Arian Foster,WR
Crockett Gillmore,TE
Chris Harper,WR
Nick O'Leary,TE
John Phillips,TE
CJ Spiller,RB
Jaelen Strong,WR
Paul Turner,WR
Markus Wheaton,WR
Jarius Wright,WR
Jordan Cameron,TE
Mike Davis,RB
Rhett Ellison,TE
Brittan Golden,WR
Dominique Jones,TE
Jamaal Charles,RB
Patrick DiMarco,RB
TJ Jones,WR
Neal Sterling,TE
Charlie Whitehurst,QB
Lucky Whitehead,WR
Jonathan Williams,RB
Demarcus Ayers,WR
Alan Cross,TE
Shaun Hill,QB
David Johnson,TE
Darren McFadden,RB
Joshua Perkins,TE
Jeremy Ross,WR
Antone Smith,RB
James Wright,WR
George Atkinson,RB
Blake Bell,TE
Leonte Carroo,WR
Pharoh Cooper,WR
Gavin Escobar,TE
Mike Glennon,QB
Tyler Kroft,WR
Tommylee Lewis,WR
Marcel Reece,RB
Drew Stanton,QB
Juwan Thompson,RB
Scott Tolzien,QB
Fitzgerald Toussaint,RB
Bryce Treggs,WR
Terrell Watson,RB
Derek Watt,RB
Andre Williams,RB
Trevone Boykin,QB
Connor Cook,QB
Ryan Grant,WR
Connor Hamlett,TE
Rashard Higgins,WR
Cody Latimer,WR
Matt Lengel,TE
Geno Smith,QB
Wendall Williams,WR
Malcolm Brown,RB
Aaron Burbridge,WR
Michael Campanaro,WR
Josh Doctson,WR
Alex Erickson,WR
Jerome Felton,RB
Maurice Harris,WR
EJ Manuel,QB
Byron Marshall,RB
Chris Moore,WR
Keith Mumphery,WR
Geoff Swaim,TE
Keenan Allen,WR
Jace Amaro,TE
Brandon Bostick,TE
Trevor Davis,WR
Johnny Holton,WR
Adrian Peterson,RB
Phillip Supernaw,TE
De'Anthony Thomas,WR
DJ Tialavea,TE
Jordan Todman,RB
Nick Williams,WR
Javorius Allen,RB
Knile Davis,RB
Dwayne Harris,WR
Tavarres King,WR
Ifeanyi Momah,TE
Troymaine Pope,RB
Tony Romo,QB
Brandon Wilds,RB
Nick Boyle,TE
Ben Braunecker,TE
Quan Bray,WR
Mike James,RB
Taiwan Jones,RB
Daniel Lasco,RB
Bradley Marquez,WR
Dexter McCluster,RB
Justin Perillo,TE
Brandon Williams,RB
Derek Carrier,WR
DJ Foster,RB
Don Jackson,RB
Malcolm Johnson,RB
Sean McGrath,TE
Niles Paul,TE
Isaiah Pead,RB
Keith Smith,RB
Lee Smith,TE
Nick Vannett,TE
Dan Vitale,RB
Antonio Andrews,RB
Brenton Bersin,WR
Brandon Bolden,RB
Damiere Byrd,WR
James Develin,RB
Jalston Fowler,RB
Clay Harbor,TE
Percy Harvin,WR
Cardale Jones,QB
Zach Line,RB
Marc Mariani,WR
Matt McGloin,QB
JD McKissic,RB
Logan Paulsen,TE
Cedric Peerman,RB
Jay Prosch,RB
DeAndre Smelter,WR
Devin Smith,WR
Luke Stocker,TE
Devin Street,WR
Mike Thomas,WR
Ross Travis,TE
Laquon Treadwell,WR
Griff Whalen,WR
Cole Wick,TE
Shane Wynn,WR
Jared Abbrederis,WR
Joe Banyard,RB
Jeremy Butler,WR
Gerald Christian,TE
Chase Daniel,QB
Alex Ellis,TE
David Fales,QB
George Farmer,RB
Rashad Greene,WR
Je'Ron Hamm,TE
Ryan Hewitt,RB
Bronson Hill,RB
Henry Krieger-Coble,TE
Paul Lasike,RB
Terrence Magee,RB
Chris Manhertz,TE
Paul McRoberts,WR
Raheem Mostert,RB
Matthew Mulligan,TE
Roosevelt Nix,RB
MyCole Pruitt,TE
Daryl Richardson,RB
Stevan Ridley,RB
Rashad Ross,WR
Anthony Sherman,RB
Lorenzo Taliaferro,RB
Stepfan Taylor,RB
Tony Washington,WR
Mario Alford,
Joique Bell,RB
Braedon Bowman,
Brandon Burks,RB
Isaiah Burse,
Michael Burton,
Orson Charles,
Kellen Clemens,QB
Asante Cleveland,
Chase Coffman,
Geremy Davis,
Kellen Davis,
Jim Dray,
Donteea Dye,
Glenn Gronkowski,
Russell Hansbrough,
Cory Harkey,
Clark Harris,
Temarrick Hemingway,
Chad Henne,QB
Julian Howsare,
Joe Kerridge,RB
Jake Lampman,
Khari Lee,
Dezmin Lewis,
Tony Lippett,
Vince Mayle,
Tre McBride,
AJ McCarron,
David Morgan,TE
Marcus Murphy,RB
Troy Niklas,TE
James O'Shaughnessy,TE
Ryan O'Malley,
Jordan Payton,WR
Chase Reynolds,RB
Demarcus Robinson,
Khiry Robinson,RB
Mark Sanchez,QB
Matt Schaub,QB
Rod Smith,RB
Nate Solder,
Randall Telfer,TE
Will Tukuafu,RB
Hakeem Valles,
Joe Webb,QB
Eric Weems,
Kasen Williams,
Maxx Williams,
TJ Yates,
Bralon Addison,RB
Sean Mannion,QB
Tyler Ervin,RB
Jakeem Grant,WR
Brett Hundley,QB
Ryan Mallett,QB
Keshawn Martin,
Matt Slater*,WR
